"BANKNO","BIDCITY","BIDNAME","BIDSTATE","BRDATE","BSTATUS","CERT","CHCLASS","CHCLASS1","CITY","CITYST","CLOSCD","COMMENTS","COST","COSTMOSTRECENTASOF","FAILDATE","FAILYR","FIN","FSL_PROG","FUND","ID","NAME","PSTALP","PTRDATE","QBFASSET","QBFDEP","RESDATE","RESTYPE","RESTYPE1","SAVR","TERMI","UNINSDEP","URL"
"","0","0","0","","",,"NM","NM","EAST PEORIA","EAST PEORIA, IL","","",,"","5/28/1934","1934","0","","1","1","FON DU LAC STATE BANK","IL","0",374,238,,"FAILURE","PO","FDIC","","",""
"","0","0","0","","",,"NM","NM","GRANTWOOD","GRANTWOOD, NJ","","",,"","1/3/1935","1935","0","","1","10","CLIFFSIDE PARK TITLE GUARANTEE & TRUST CO.","NJ","0",2305,590,,"FAILURE","PO","FDIC","","",""
"","0","0","0","","",,"NM","NM","CUMMINGS","CUMMINGS, ND","","",,"","12/21/1936","1936","0","","1","100","THE CUMMINGS STATE BANK","ND","0",,30,,"FAILURE","P&A","FDIC","","",""
"","LINCOLN","UNION BANK&TRUST CO","NE","","I",13797,"NM","NM","TAYLOR","TAYLOR, NE","PASAN","",1653,"30SEP2025","5/31/1985","1985","2466","","1","1000","BANK OF TAYLOR","NE","0",14542,13360,"5/31/1985","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","I",18388,"NM","NM","FAIRFIELD","FAIRFIELD, NE","POSAA","",1656,"30SEP2025","5/31/1985","1985","6571","","1","1001","FAIRFIELD STATE BANK","NE","0",6795,6034,"5/31/1985","FAILURE","PO","FDIC","T","","na"
"","GUIDE ROCK","GUIDE ROCK STATE BANK","NE","","I",18738,"NM","NM","EDGAR","EDGAR, NE","PASAN","",1118,"30SEP2025","5/31/1985","1985","2469","","1","1002","SECURITY STATE BANK","NE","0",6570,6072,"5/31/1985","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","I",19117,"NM","NM","OAK","OAK, NE","POSAA","",165,"30SEP2025","5/31/1985","1985","6570","","1","1003","SCROGGIN & COMPANY BANK","NE","0",3552,3219,"5/31/1985","FAILURE","PO","FDIC","T","","na"
"","LOS ANGELES","COAST S&LA","CA","85-05-31","",30965,"SL","SL","SAN DIEGO","SAN DIEGO, CA","","",327146,"30SEP2025","5/31/1985","1985","1706","MCP-C","3","1004","CENTRAL S&LA","CA","0",2308903,1680711,"4/10/1987","ASSISTANCE","A/A","FSLIC","","","na"
"","LOS ANGELES","SOUTHERN CALIFORNIA FS&LA","CA","85-06-06","",28621,"SL","SL","BEVERLY HILLS","BEVERLY HILLS, CA","","",223825,"30SEP2025","6/6/1985","1985","1707","MCP-C","3","1005","SOUTHERN CALIFORNIA  S&LA","CA","0",1492644,1263750,"4/30/1987","ASSISTANCE","A/A","FSLIC","","","na"
"","0","0","0","","",31323,"SL","SL","NASHVILLE","NASHVILLE, TN","","",3638,"30SEP2025","6/7/1985","1985","0","","3","1006","COMMUNITY FS&LA","TN","0",22747,18798,"6/7/1985","FAILURE","PO","FSLIC","","","na"
"","0","0","0","","",31674,"SL","SL","KNOXVILLE","KNOXVILLE, TN","","",1529,"30SEP2025","6/7/1985","1985","0","","3","1007","MAGNOLIA FS&LA","TN","0",4816,3649,"6/7/1985","FAILURE","IDT","FSLIC","","","na"
"","RIVERTON","FIRST WY BANK NA RIVERTO","WY","","I",18551,"N","N","RIVERTON","RIVERTON, WY","PANNN","",10568,"30SEP2025","6/11/1985","1985","2470","","1","1008","AMERICAN NATIONAL BANK OF RIVERTON","WY","0",37937,39595,"6/11/1985","FAILURE","PA","FDIC","T","","na"
"","EDNA","FIRST STATE BANK OF EDNA","KS","","I",4657,"NM","NM","EDNA","EDNA, KS","PASAN","",2827,"30SEP2025","6/13/1985","1985","2471","","1","1009","THE FIRST STATE BANK","KS","0",8325,8119,"6/13/1985","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","",,"NM","NM","MAKOTI","MAKOTI, ND","","",,"","12/21/1936","1936","0","","1","101","RESERVATION STATE BANK","ND","0",,78,,"FAILURE","P&A","FDIC","","",""
"","SLEEPY EYE","FIRST SECURITY STB SLEEP","MN","","I",1602,"NM","NM","BENSON","BENSON, MN","PASAN","",8386,"30SEP2025","6/14/1985","1985","2472","","1","1010","SWIFT COUNTY BANK","MN","0",41598,38007,"6/14/1985","FAILURE","PA","FDIC","T","","na"
"","DODGEVILLE","M&I BANK OF DODGEVILLE","WI","","I",11613,"NM","NM","DODGEVILLE","DODGEVILLE, WI","DTSAN","",2,"30SEP2025","6/14/1985","1985","6576","","1","1011","STRONG'S BANK","WI","0",30733,28240,"6/14/1985","FAILURE","IDT","FDIC","T","","na"
"","0","0","0","","I",10507,"NM","NM","DEXTER","DEXTER, KS","POSNN","",1280,"30SEP2025","6/20/1985","1985","6577","","1","1012","FARMERS STATE BANK OF DEXTER","KS","0",4267,4166,"6/20/1985","FAILURE","PO","FDIC","T","","na"
"","OKLAHOMA CITY","CITY BANK&TRUST","OK","","I",4165,"N","N","OKLAHOMA CITY","OKLAHOMA CITY, OK","PANNN","",32615,"30SEP2025","6/21/1985","1985","2474","","1","1013","FIRST CITY BANK, N.A.","OK","0",97808,92708,"6/21/1985","FAILURE","PA","FDIC","T","","na"
"","CEDAR RAPIDS","PEOPLES BANK&TRUST CO","IA","","I",13153,"NM","NM","URBANA","URBANA, IA","PASAN","",810,"30SEP2025","6/21/1985","1985","2473","","1","1014","URBANA SAVINGS BANK","IA","0",7158,6325,"6/21/1985","FAILURE","PA","FDIC","T","","na"
"","0","HONGKONG&SHANGHAI BK COR","0","","I",22452,"N","N","NEW YORK","NEW YORK, NY","DTNNN","",0,"30SEP2025","6/21/1985","1985","5580","","1","1015","GOLDEN PACIFIC NATIONAL BANK","NY","0",146254,131418,"6/21/1985","FAILURE","IDT","FDIC","T","","na"
"","SAN CARLOS","EUREKA FS&LA","CA","85-06-21","",28745,"SL","SL","SAN CARLOS","SAN CARLOS, CA","","",453308,"30SEP2025","6/21/1985","1985","1729","MCP-A","3","1016","EUREKA FS&LA","CA","0",1570628,1364360,"5/26/1988","ASSISTANCE","A/A","FSLIC","","","na"
"","BATON ROUGE","HORIZON  FS&LA","LA","85-06-25","I",28913,"SB","SB","LAKE PROVIDENCE","LAKE PROVIDENCE, LA","","",156154,"30SEP2025","6/25/1985","1985","7530","MCP-A","3","1017","SUN BELT FEDERAL BANK, FSB","LA","0",278335,269111,"5/2/1986","FAILURE","ABT","FSLIC","T","","na"
"","BATON ROUGE","HORIZON  FS&LA","LA","85-06-25","I",31480,"SL","SL","NEW ORLEANS","NEW ORLEANS, LA","","",73507,"30SEP2025","6/25/1985","1985","7536","MCP-A","3","1018","NEW ORLEANS S&LA","LA","0",118050,105339,"6/20/1986","FAILURE","ABT","FSLIC","T","","na"
"","BATON ROUGE","HORIZON  FS&LA","LA","85-06-25","I",31891,"SL","SL","NEW ORLEANS","NEW ORLEANS, LA","","",166227,"30SEP2025","6/25/1985","1985","7535","MCP-A","3","1019","AUDUBON S&LA","LA","0",211301,222109,"6/20/1986","FAILURE","ABT","FSLIC","T","","na"
"","0","0","0","","",,"NM","NM","MAX","MAX, ND","","",,"","12/21/1936","1936","0","","1","102","FIRST STATE BANK OF MAX","ND","0",,100,,"FAILURE","P&A","FDIC","","",""
"","BATON ROUGE","HORIZON  FS&LA","LA","85-06-25","",32015,"SL","SL","BATON ROUGE","BATON ROUGE, LA","","",29713,"30SEP2025","6/25/1985","1985","0","MCP-A","3","1020","COMMUNITY FS&LA","LA","0",47936,46831,"6/20/1986","FAILURE","ABT","FSLIC","","","na"
"","BATON ROUGE","HORIZON  FS&LA","LA","85-06-25","I",32029,"SL","SL","COVINGTON","COVINGTON, LA","","",89333,"30SEP2025","6/25/1985","1985","7534","MCP-A","3","1021","NORTHLAKE S&LA","LA","0",141383,148074,"6/20/1986","FAILURE","ABT","FSLIC","T","","na"
"","BATON ROUGE","HORIZON  FS&LA","LA","85-06-25","I",32098,"SB","SB","NEW ORLEANS","NEW ORLEANS, LA","","",53664,"30SEP2025","6/25/1985","1985","7532","MCP-A","3","1022","CRESCENT SAVINGS BANK","LA","0",89114,83950,"6/20/1986","FAILURE","ABT","FSLIC","T","","na"
"","WESTMINSTER","HOUSEHOLD BANK FSB","CA","","",31940,"SL","SL","SHAWNEE MSN","SHAWNEE MSN, KS","","",16154,"30SEP2025","6/26/1985","1985","1669","","3","1023","CENTURY SA","KS","0",91832,44968,"6/26/1985","ASSISTANCE","A/A","FSLIC","","","na"
"","SHELBYVILLE","FIRST NB OF SHELBYVILLE","TN","","I",4968,"NM","NM","TRACY CITY","TRACY CITY, TN","PASNN","",2912,"30SEP2025","6/28/1985","1985","2475","","1","1024","FIRST BANK & TRUST","TN","0",21123,19718,"6/28/1985","FAILURE","PA","FDIC","T","","na"
"","BATESVILLE","MISSISSIPPI FSB","MS","","",31839,"SL","SL","BATESVILLE","BATESVILLE, MS","","",4110,"30SEP2025","7/1/1985","1985","0","","3","1025","CITIZENS S&LA","MS","0",18387,13257,"7/1/1985","ASSISTANCE","A/A","FSLIC","","","na"
"","MADISON","FIRST NB OF MADISON","KS","","I",10510,"NM","NM","MADISON","MADISON, KS","PASAN","",2479,"30SEP2025","7/2/1985","1985","2476","","1","1026","MADISON BANK","KS","0",8392,7739,"7/2/1985","FAILURE","PA","FDIC","T","","na"
"","JACKSONVILLE","AMSOUTH BANK OF JACKSONV","AL","","I",14837,"N","N","JACKSONVILLE","JACKSONVILLE, AL","PANNN","",9086,"30SEP2025","7/5/1985","1985","2477","","1","1027","THE FIRST NATIONAL BANK OF JACKSONVILLE","AL","0",43290,39643,"7/5/1985","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","I",22163,"NM","NM","OKLAHOMA CITY","OKLAHOMA CITY, OK","POSNN","",6920,"30SEP2025","7/11/1985","1985","6584","","1","1028","CROSSROADS STATE BANK","OK","0",17776,17101,"7/11/1985","FAILURE","PO","FDIC","T","","na"
"","0","0","0","","I",3166,"N","N","DARROUZETT","DARROUZETT, TX","PONAN","",4130,"30SEP2025","7/18/1985","1985","5586","","1","1029","THE FIRST NATIONAL BANK OF DAROUZZET","TX","0",18213,11388,"7/18/1985","FAILURE","PO","FDIC","T","","na"
"","0","0","0","","",,"NM","NM","POWERS LAKE","POWERS LAKE, ND","","",,"","12/21/1936","1936","0","","1","103","FIRST STATE BANK OF POWERS LAKE","ND","0",,76,,"FAILURE","P&A","FDIC","","",""
"","ESKRIDGE","FLINT HILLS BANK OF ESKR","KS","","I",17962,"NM","NM","ESKRIDGE","ESKRIDGE, KS","PASAN","",5324,"30SEP2025","7/18/1985","1985","2478","","1","1030","ESKRIDGE STATE BANK","KS","0",10137,9435,"7/18/1985","FAILURE","PA","FDIC","T","","na"
"","BOYNTON BEACH","BEACH FS&LA","FL","85-07-18","I",32016,"SL","SL","LAKE WORTH","LAKE WORTH, FL","","",419225,"30SEP2025","7/18/1985","1985","7543","MCP-C/MCP-D","3","1031","SUNRISE, S&LA","FL","0",1516512,1498748,"9/12/1986","FAILURE","ABT","FSLIC","T","","na"
"","LINNEUS","UNITED MO BANK OF LINN C","MO","","I",10625,"NM","NM","LINNEUS","LINNEUS, MO","PASAN","",2214,"30SEP2025","7/19/1985","1985","2480","","1","1032","LINN COUNTY BANK","MO","0",5381,5301,"7/19/1985","FAILURE","PA","FDIC","T","","na"
"","GOLDEN","FIRST INTRST BK GOLDEN N","CO","","I",22851,"SM","SM","BLACK HAWK","BLACK HAWK, CO","PABNN","",1330,"30SEP2025","7/19/1985","1985","2479","","1","1033","GILPIN COUNTY BANK","CO","0",3861,3481,"7/19/1985","FAILURE","PA","FDIC","T","","na"
"","SYOSSET","LONG ISLAND SAVINGS BANK  F","NY","85-07-19","",28504,"SL","SL","FLUSHING","FLUSHING, NY","","",22906,"30SEP2025","7/19/1985","1985","1682","MCP","3","1034","FLUSHING FS&LA","NY","0",527685,524880,"4/29/1986","ASSISTANCE","A/A","FSLIC","","","na"
"","ONAGA","FIRST NATIONAL BANK OF O","KS","","I",4745,"N","N","ONAGA","ONAGA, KS","PANAN","",2229,"30SEP2025","7/23/1985","1985","2481","","1","1035","THE FIRST NATIONAL BANK OF ONAGA","KS","0",22379,22259,"7/23/1985","FAILURE","PA","FDIC","T","","na"
"","GLENROCK","NATIONAL BANK OF GLENROC","WY","","I",18928,"N","N","GLENROCK","GLENROCK, WY","PANNN","",4459,"30SEP2025","7/23/1985","1985","2482","","1","1036","FIRST NATIONAL BANK OF GLENROCK","WY","0",18686,16463,"7/23/1985","FAILURE","PA","FDIC","T","","na"
"","EL DORADO","NATIONAL BANK OF EL DORA","KS","","I",12423,"NM","NM","EL DORADO","EL DORADO, KS","PASNN","",1455,"30SEP2025","7/25/1985","1985","2484","","1","1037","CITIZENS STATE BANK OF EL DORADO","KS","0",31185,29527,"7/25/1985","FAILURE","PA","FDIC","T","","na"
"","OVERLAND PARK","MIDAMERICAN B&T OVERLAND","KS","","I",20699,"NM","NM","OVERLAND PARK","OVERLAND PARK, KS","PASNN","",6351,"30SEP2025","7/25/1985","1985","2483","","1","1038","KANSAS AMERICAN BANK","KS","0",25707,23888,"7/25/1985","FAILURE","PA","FDIC","T","","na"
"","MARINA DEL RAY","WESTERN FS&LA","CA","85-07-25","",28490,"SL","SL","SAN MATEO","SAN MATEO, CA","","",829701,"30SEP2025","7/25/1985","1985","1750","MCP-C","3","1039","BELL  S&LA","CA","0",1635150,1312477,"8/23/1988","ASSISTANCE","A/A","FSLIC","","","na"
"","0","0","0","","",,"NM","NM","HOUGHTON","HOUGHTON, SD","","",,"","1/12/1937","1937","0","","1","104","BANK OF HOUGHTON","SD","0",82,50,,"FAILURE","PO","FDIC","","",""
"","HOUSTON","PEOPLES BANK NATIONAL AS","TX","","I",18862,"N","N","HOUSTON","HOUSTON, TX","PANNN","",3568,"30SEP2025","8/1/1985","1985","2491","","1","1040","RIVERSIDE NATIONAL BANK OF HOUSTON","TX","0",18365,17158,"8/1/1985","FAILURE","PA","FDIC","T","","na"
"","PORTLAND","BENJ FRANKLIN FS&LA","OR","","",29071,"SL","SL","PENDLETON","PENDLETON, OR","","",8800,"30SEP2025","8/1/1985","1985","1670","","3","1041","WESTERN HERITAGE FS&LA","OR","0",175148,134017,"8/1/1985","ASSISTANCE","A/A","FSLIC","","","na"
"","MOUNTAIN LAKE","FARMERS STB OF MOUNTAIN","MN","","I",10970,"NM","NM","ROUND LAKE","ROUND LAKE, MN","PASAN","",7462,"30SEP2025","8/2/1985","1985","2486","","1","1042","FARMERS STATE BANK OF ROUND LAKE","MN","0",23210,20903,"8/2/1985","FAILURE","PA","FDIC","T","","na"
"","LINCOLN","UNION BANK&TRUST CO","NE","","I",11828,"NM","NM","RISING CITY","RISING CITY, NE","PASAN","",320,"30SEP2025","8/2/1985","1985","2485","","1","1043","FARMERS STATE BANK","NE","0",12845,11929,"8/2/1985","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","I",29527,"SL","SL","TEMPLE","TEMPLE, TX","","",177863,"30SEP2025","8/2/1985","1985","7520","","3","1044","BELL SAVINGS BANC","TX","0",185009,288045,"8/2/1985","FAILURE","IDT","FSLIC","T","","na"
"","GLENWOOD","GLENWOOD STATE BANK","IA","","I",14180,"NM","NM","MINEOLA","MINEOLA, IA","PASAN","",213,"30SEP2025","8/6/1985","1985","2489","","1","1045","MINEOLA STATE BANK","IA","0",5205,4928,"8/6/1985","FAILURE","PA","FDIC","T","","na"
"","NEWPORT BEACH","DOWNEY S&LA","CA","85-08-07","",29540,"SL","SL","SANTA ANA","SANTA ANA, CA","","",371337,"30SEP2025","8/7/1985","1985","1754","MCP-C","3","1046","BUTTERFIELD  S&LA","CA","0",708261,768317,"9/29/1988","ASSISTANCE","A/A","FSLIC","","","na"
"","MIDWEST CITY","SECURITY BANK OF MW CTY","OK","","I",18907,"NM","NM","MIDWEST CITY","MIDWEST CITY, OK","PASNN","",6913,"30SEP2025","8/8/1985","1985","2490","","1","1047","SECURITY BANK & TRUST COMPANY","OK","0",34976,33426,"8/8/1985","FAILURE","PA","FDIC","T","","na"
"","LITCHFIELD","LITCHFIELD BANK&TRUST CO","IL","","I",10085,"NM","NM","FARMERSVILLE","FARMERSVILLE, IL","PASAN","",2181,"30SEP2025","8/9/1985","1985","2492","","1","1048","STATE BANK OF FARMERSVILLE","IL","0",11984,12118,"8/9/1985","FAILURE","PA","FDIC","T","","na"
"","OMAHA","COMMERCIAL FS&LA","NE","85-08-09","",31906,"SL","SL","DENVER","DENVER, CO","","",56310,"30SEP2025","8/9/1985","1985","0","MCP-B","3","1049","SIERRA FS&LA","CO","0",48363,81482,"2/28/1986","FAILURE","IDT","FSLIC","","","na"
"","0","0","0","","",,"NM","NM","FORMAN","FORMAN, ND","","",,"","1/14/1937","1937","0","","1","105","SARGENT COUNTY BANK","ND","0",,154,,"FAILURE","P&A","FDIC","","",""
"","0","0","0","","I",15380,"NM","NM","HERNDON","HERNDON, KS","POSAN","",1571,"30SEP2025","8/14/1985","1985","6600","","1","1050","STATE BANK OF HERNDON","KS","0",6237,5758,"8/14/1985","FAILURE","PO","FDIC","T","","na"
"","FARMERS BRANCH","PARK WEST STATE BANK","TX","","I",24761,"N","N","FARMERS BRANCH","FARMERS BRANCH, TX","DTNNA","",5328,"30SEP2025","8/15/1985","1985","5601","","1","1051","PARK WEST BANK, N.A.","TX","0",20544,18232,"8/15/1985","FAILURE","IDT","FDIC","T","","na"
"","ANDALUSIA","THE COMMERCIAL BANK","AL","","",55,"NM","NM","ANDALUSIA","ANDALUSIA, AL","","",0,"30SEP2025","8/16/1985","1985","1926","","1","1052","THE COMMERCIAL BANK","AL","0",77816,76446,"8/16/1985","ASSISTANCE","A/A","FDIC","","","na"
"","0","0","0","","I",32055,"SL","SL","KALISPELL","KALISPELL, MT","","",12908,"30SEP2025","8/16/1985","1985","7521","","3","1053","MONTANA S&LA","MT","0",26949,30360,"8/16/1985","FAILURE","PO","FSLIC","T","","na"
"","MIAMI","CITIZENS FS&LA","FL","85-08-20","I",31818,"SL","SL","GUERNEVILLE","GUERNEVILLE, CA","","",148930,"30SEP2025","8/20/1985","1985","7557","MCP-C","3","1054","CENTENNIAL  S&LA","CA","0",368163,367831,"4/27/1987","FAILURE","IDT","FSLIC","T","","na"
"","0","0","0","","I",10501,"NM","NM","BRONSON","BRONSON, KS","POSAN","",3042,"30SEP2025","8/23/1985","1985","6602","","1","1055","THE BANK OF BRONSON","KS","0",9604,9294,"8/23/1985","FAILURE","PO","FDIC","T","","na"
"","0","0","0","","I",32083,"SL","SL","KENNER","KENNER, LA","","",147947,"30SEP2025","8/23/1985","1985","7522","","3","1056","ALLIANCE FS&LA","LA","0",188137,133989,"8/23/1985","FAILURE","IDT","FSLIC","T","","na"
"","HORNERSVILLE","MERCHANTS&PLANTERS BK HO","MO","","I",16084,"NM","NM","CARDWELL","CARDWELL, MO","PASAN","",868,"30SEP2025","8/28/1985","1985","2493","","1","1057","CARDWELL STATE BANK","MO","0",6206,5664,"8/28/1985","FAILURE","PA","FDIC","T","","na"
"","HAYTI","BANK OF HAYTI","MO","","I",19574,"NM","NM","HAYTI","HAYTI, MO","PASAN","",1367,"30SEP2025","8/28/1985","1985","2494","","1","1058","MISSOURI DELTA BANK","MO","0",9116,8112,"8/28/1985","FAILURE","PA","FDIC","T","","na"
"","BEVERLY HILLS","GIBRALTER SAVINGS","CA","85-08-28","I",31749,"SL","SL","PORTERVILLE","PORTERVILLE, CA","","",96609,"30SEP2025","8/28/1985","1985","7541","MCP-C","3","1059","PRESIDIO  S&LA","CA","0",284494,244890,"8/8/1986","FAILURE","ABT","FSLIC","T","","na"
"","0","0","0","","",,"NM","NM","TRENTON","TRENTON, MO","","",,"","2/10/1937","1937","0","","1","106","FARMERS BANK OF TRENTON","MO","0",335,323,,"FAILURE","PO","FDIC","","",""
"","HOBBS","UNITED BANK OF LEA COUNT","NM","","I",16798,"N","N","HOBBS","HOBBS, NM","PANNN","",54020,"30SEP2025","8/30/1985","1985","2495","","1","1060","MONCOR BANK, N.A.","NM","0",229302,220340,"8/30/1985","FAILURE","PA","FDIC","T","","na"
"","SEATTLE","PRUDENTIAL BANK FSB","WA","85-08-30","",28124,"SL","SL","SEATTLE","SEATTLE, WA","","",100841,"30SEP2025","8/30/1985","1985","0","MCP-D","3","1061","WESTSIDE FS&LA","WA","0",378366,325085,"5/9/1986","FAILURE","ABT","FSLIC","","","na"
"","MATTESON","REPUBLIC SAVINGS BANK, FSB","IL","","",27766,"SL","SL","MATTESON","MATTESON, IL","","",3000,"30SEP2025","9/3/1985","1985","0","","3","1062","CITIZENS FS&LA","IL","0",133824,133506,"9/3/1985","ASSISTANCE","A/A","FSLIC","","","na"
"","COLUMBIA","FIRST FARMERS&MERCHANTS","TN","","I",6096,"NM","NM","LORETTO","LORETTO, TN","PASAN","",3933,"30SEP2025","9/4/1985","1985","2496","","1","1063","THE BANK OF LORETTO","TN","0",25637,24782,"9/4/1985","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","I",23209,"SM","SM","CLIFTON","CLIFTON, CO","POBNN","",2748,"30SEP2025","9/6/1985","1985","6607","","1","1064","BANK OF CLIFTON","CO","0",10887,9839,"9/6/1985","FAILURE","PO","FDIC","T","","na"
"","HOUSTON","FIRST HEIGHTS FSA","TX","85-09-06","",30676,"SL","SL","HOUSTON","HOUSTON, TX","","",738898,"30SEP2025","9/6/1985","1985","1804","MCP-C","3","1065","HEIGHTS SAVINGS ASSOCIATION","TX","0",436548,422018,"9/9/1988","ASSISTANCE","A/A","FSLIC","","","na"
"","VANLEER","PEOPLES BANK","TN","","I",20490,"NM","NM","DICKSON","DICKSON, TN","PASNN","",1830,"30SEP2025","9/12/1985","1985","2498","","1","1066","FIRST SECURITY BANK OF DICKSON","TN","0",14785,14259,"9/12/1985","FAILURE","PA","FDIC","T","","na"
"","ROSWELL","FIRST NB OF CHAVES COUNT","NM","","I",24106,"N","N","ROSWELL","ROSWELL, NM","PANNN","",10629,"30SEP2025","9/12/1985","1985","2497","","1","1067","MONCOR BANK, N.A.","NM","0",33293,32901,"9/12/1985","FAILURE","PA","FDIC","T","","na"
"","HIGHLAND","FIRST NB OF HIGHLAND","NY","","I",21562,"N","N","RAMAPO","RAMAPO, NY","DTNNN","",0,"30SEP2025","9/13/1985","1985","5610","","1","1068","THE FIRST NATIONAL BANK OF ROCKLAND","NY","0",29482,25309,"9/13/1985","FAILURE","IDT","FDIC","T","","na"
"","0","0","0","","I",12743,"NM","NM","ELBA","ELBA, NE","POSAN","",657,"30SEP2025","9/18/1985","1985","6611","","1","1069","ELBA STATE BANK","NE","0",4735,4217,"9/18/1985","FAILURE","PO","FDIC","T","","na"
"","0","0","0","","",,"NM","NM","CORSICA","CORSICA, SD","","",,"","2/18/1937","1937","0","","1","107","FARMERS STATE BANK","SD","0",205,164,,"FAILURE","PO","FDIC","","",""
"","CHICAGO","CITICORP SAVINGS OF ILLINOI","IL","85-09-20","",30916,"SL","SL","GLEN ELLYN","GLEN ELLYN, IL","","",18485,"30SEP2025","9/20/1985","1985","1771","MCP-C","3","1070","GLEN ELLYN  S&LA","IL","0",122108,101105,"12/31/1988","ASSISTANCE","A/A","FSLIC","","","na"
"","0","0","0","","I",1148,"SM","SM","SEDAN","SEDAN, KS","POBAN","",8340,"30SEP2025","9/25/1985","1985","6612","","1","1071","THE SEDAN STATE BANK","KS","0",28153,26586,"9/25/1985","FAILURE","PO","FDIC","T","","na"
"","0","0","0","","I",4207,"N","N","TERRAL","TERRAL, OK","PONAN","",1723,"30SEP2025","9/27/1985","1985","5614","","1","1072","THE FIRST NATIONLAL BANK IN TERRAL","OK","0",4063,3948,"9/27/1985","FAILURE","PO","FDIC","T","","na"
"","DENTON","TEXAS BANK OF DENTON","TX","","I",18760,"NM","NM","DENTON","DENTON, TX","PASNN","",8021,"30SEP2025","9/27/1985","1985","2499","","1","1073","WESTERN STATE BANK","TX","0",27831,23678,"9/27/1985","FAILURE","PA","FDIC","T","","na"
"","WASHINGTON","COLUMBIA FIRST FS&LA","DC","","",31652,"SL","SL","SPRINGFIELD","SPRINGFIELD, VA","","",776,"30SEP2025","9/27/1985","1985","1671","","3","1074","FAMILY FS&LA","VA","0",57071,71193,"9/27/1985","ASSISTANCE","A/A","FSLIC","","","na"
"","WINDSOR","EMPIRE OF AMERICA-CALIFORNI","CA","85-09-27","",32207,"SL","SL","WINDSOR","WINDSOR, CA","","",6070,"30SEP2025","9/27/1985","1985","1689","MCP-C","3","1075","GOLDEN PACIFIC S&LA","CA","0",45574,46160,"7/14/1986","ASSISTANCE","A/A","FSLIC","","","na"
"","NEW YORK","BOWERY SAVINGS BANK","NY","","",15919,"SI","SI","NEW YORK","NEW YORK, NY","","",334542,"30SEP2025","10/1/1985","1985","1924","","1","1076","BOWERY SAVINGS BANK","NY","0",5277472,5001932,"10/1/1985","ASSISTANCE","A/A","FDIC","","","na"
"","METAIRIE","PELICAN HOMESTEAD&SVG ASSN","LA","","",27873,"SL","SL","BATON ROUGE","BATON ROUGE, LA","","",5250,"30SEP2025","10/1/1985","1985","0","","3","1077","BATON ROUGE S&LA","LA","0",116047,93265,"10/1/1985","ASSISTANCE","A/A","FSLIC","","","na"
"","ALBEQUERQUE","SECURITY FS&LA","NM","","",30922,"SL","SL","ALBERQUERQUE","ALBERQUERQUE, NM","","",19536,"30SEP2025","10/1/1985","1985","1672","","3","1078","SECURITY FS&LA","NM","0",169057,167698,"10/1/1985","ASSISTANCE","A/A","FSLIC","","","na"
"","MIAMI","BAYSHORE BANK OF FLORIDA","FL","","I",24573,"N","N","HIALEAH GARDENS","HIALEAH GARDENS, FL","PANNN","",2699,"30SEP2025","10/3/1985","1985","2500","","1","1079","TOWER BANK, N.A.","FL","0",20523,19722,"10/3/1985","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","",,"NM","NM","AKASKA","AKASKA, SD","","",,"","2/18/1937","1937","0","","1","108","AKASKA STATE BANK","SD","0",92,62,,"FAILURE","PO","FDIC","","",""
"","PORTLAND","SUN SAVINGS&LOAN ASSN","ME","","",28422,"SL","SL","PORTLAND","PORTLAND, ME","","",17500,"30SEP2025","10/4/1985","1985","1673","","3","1080","SUN S&LA","ME","0",231947,177079,"10/4/1985","ASSISTANCE","A/A","FSLIC","","","na"
"","CANTON","COMMUNITY STATE BANK OF CAN","OK","","I",15756,"NM","NM","CANTON","CANTON, OK","PASAN","",8576,"30SEP2025","10/10/1985","1985","2502","","1","1081","BANK OF CANTON","OK","0",22438,20609,"10/10/1985","FAILURE","PA","FDIC","T","","na"
"","SARATOGA","FIRST WYOMING BANK SARAT","WY","","I",525,"SM","SM","SARATOGA","SARATOGA, WY","PABNN","",4260,"30SEP2025","10/11/1985","1985","2503","","1","1082","SARATOGA STATE BANK","WY","0",18470,16300,"10/11/1985","FAILURE","PA","FDIC","T","","na"
"","ST. JOSEPH","COMMERCE BK OF ST JOSEPH","MO","","I",4602,"N","N","ST. JOSEPH","ST. JOSEPH, MO","PANNN","",27105,"30SEP2025","10/11/1985","1985","2504","","1","1083","THE FIRST NATIONAL BANK OF ST. JOSEPH","MO","0",193485,175895,"10/11/1985","FAILURE","PA","FDIC","T","","na"
"","MIAMI","SECURITY BANK&TRUST CO","OK","","I",2321,"NM","NM","AFTON","AFTON, OK","PASNN","",2763,"30SEP2025","10/17/1985","1985","2505","","1","1084","FARMERS STATE BANK IN AFTON","OK","0",10794,9905,"10/17/1985","FAILURE","PA","FDIC","T","","na"
