"BANKNO","BIDCITY","BIDNAME","BIDSTATE","BRDATE","BSTATUS","CERT","CHCLASS","CHCLASS1","CITY","CITYST","CLOSCD","COMMENTS","COST","COSTMOSTRECENTASOF","FAILDATE","FAILYR","FIN","FSL_PROG","FUND","ID","NAME","PSTALP","PTRDATE","QBFASSET","QBFDEP","RESDATE","RESTYPE","RESTYPE1","SAVR","TERMI","UNINSDEP","URL"
"","SALINA","THE BENNINGTON STATE BANK","KS","","I",10506,"SM","SM","SYLVAN GROVE","SYLVAN GROVE, KS","TABNN","",6651,"30SEP2025","7/23/2010","2010","10269","","5","3830","THUNDER BANK","KS","0",28248,27048,"7/23/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/thunderbankks.html"
"","COLUMBIA","FIRST CITIZENS BANK AND TRUST COMPANY, INC.","SC","","I",17837,"N","N","KINGSTREE","KINGSTREE, SC","TANNN","",2425,"30SEP2025","7/23/2010","2010","10270","","5","3831","WILLIAMSBURG FIRST NATIONAL BANK","SC","0",130411,126993,"7/23/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/williamsburgsc.html"
"","KLAMATH FALLS","SOUTH VALLEY BANK & TRUST","OR","","I",23181,"SM","SM","CAVE JUNCTION","CAVE JUNCTION, OR","TABNN","",28068,"30SEP2025","7/23/2010","2010","10266","","5","3832","HOME VALLEY BANK","OR","0",250488,227935,"7/23/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/homevalleyor.html"
"","TUPELO","RENASANT BANK","MS","","I",27559,"NM","NM","JASPER","JASPER, GA","TASNN","",303698,"30SEP2025","7/23/2010","2010","10265","","5","3833","CRESCENT BANK AND TRUST COMPANY","GA","0",970235,932809,"7/23/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/crescentga.html"
"","LAFAYETTE","IBERIABANK","LA","","I",32536,"SM","SM","LANTANA","LANTANA, FL","TABNN","",41792,"30SEP2025","7/23/2010","2010","10268","","5","3834","STERLING BANK","FL","0",354966,329541,"7/23/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/sterlingfl.html"
"","WASECA","ROUNDBANK","MN","","I",34486,"NM","NM","NEW PRAGUE","NEW PRAGUE, MN","TASNN","",18495,"30SEP2025","7/23/2010","2010","10264","","5","3835","COMMUNITY SECURITY BANK","MN","0",100649,95100,"7/23/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/communitysecmn.html"
"","IRVINE","PLAZA BANK","CA","","I",35434,"NM","NM","LAS VEGAS","LAS VEGAS, NV","TASNN","",86297,"30SEP2025","7/23/2010","2010","10267","","5","3836","SOUTHWESTUSA BANK","NV","0",203690,183985,"7/23/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/southwestusanv.html"
"","CONWAY","CENTENNIAL BANK","AR","","I",9619,"NM","NM","PANAMA CITY BEACH","PANAMA CITY BEACH, FL","TASNN","",116866,"30SEP2025","7/30/2010","2010","10272","","5","3837","COASTAL COMMUNITY BANK","FL","0",377469,370016,"7/30/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/coastal.html"
"","OLYMPIA","HERITAGE BANK","WA","","A",22643,"NM","NM","LONGVIEW","LONGVIEW, WA","TASNN","",31361,"30SEP2025","7/30/2010","2010","10275","","5","3838","THE COWLITZ BANK","WA","0",489019,474742,"7/30/2010","FAILURE","PA","DIF","","","https://www.fdic.gov/bank/individual/failed/cowlitz.html"
"","NAMPA","HOME FEDERAL BANK","ID","","I",31964,"NM","NM","EUGENE","EUGENE, OR","TASNN","",50954,"30SEP2025","7/30/2010","2010","10273","","5","3839","LIBERTYBANK","OR","0",714574,692670,"7/30/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/libertyor.html"
"","0","0","0","","",,"N","N","LEHIGHTON","LEHIGHTON, PA","","",,"","8/1/1942","1942","0","","1","384","CITIZENS NAT BK & TR CO. OF LEHIGHTON","PA","0",,1104,,"FAILURE","P&A","FDIC","","",""
"","MACON","STATE BANK AND TRUST COMPANY","GA","","I",57658,"NM","NM","ACWORTH","ACWORTH, GA","TASNN","",33627,"30SEP2025","7/30/2010","2010","10274","","5","3840","NORTHWEST BANK & TRUST","GA","0",160763,155531,"7/30/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/northwestga.html"
"","CONWAY","CENTENNIAL BANK","AR","","I",57669,"SB","SB","PORT SAINT JOE","PORT SAINT JOE, FL","TAFNN","",12479,"30SEP2025","7/30/2010","2010","10271","","5","3841","BAYSIDE SAVINGS BANK","FL","0",64344,52720,"7/30/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/bayside.html"
"","NORTHBROOK","NORTHBROOK BANK AND TRUST COMPANY","IL","","I",34231,"NM","NM","CHICAGO","CHICAGO, IL","TASNN","",67728,"30SEP2025","8/6/2010","2010","10276","","5","3842","RAVENSWOOD BANK","IL","0",264628,269448,"8/6/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/ravenswood.html"
"","ITASCA","FIRST MIDWEST BANK","IL","","I",17599,"NM","NM","PALOS HEIGHTS","PALOS HEIGHTS, IL","TASNN","",66962,"30SEP2025","8/13/2010","2010","10277","","5","3843","PALOS BANK AND TRUST COMPANY","IL","0",493391,467784,"8/13/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/palosbank.html"
"","CHICAGO","URBAN PARTNERSHIP BANK","IL","","I",15640,"NM","NM","CHICAGO","CHICAGO, IL","TASNN","",525962,"30SEP2025","8/20/2010","2010","10284","","5","3844","SHOREBANK","IL","0",2166431,1547403,"8/20/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/shorebank.html"
"","WINTER HAVEN","CENTERSTATE BANK OF FLORIDA, NATIONAL ASSOCIATION","FL","","I",25266,"N","N","BARTOW","BARTOW, FL","TANNN","",9170,"30SEP2025","8/20/2010","2010","10279","","5","3845","COMMUNITY NATIONAL BANK AT BARTOW","FL","0",67918,63708,"8/20/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/cnbbartow.html"
"","EL CENTRO","RABOBANK, NATIONAL ASSOCIATION","CA","","I",27090,"SM","SM","STOCKTON","STOCKTON, CA","TABNN","",34038,"30SEP2025","8/20/2010","2010","10283","","5","3846","PACIFIC STATE BANK","CA","0",312077,278832,"8/20/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/pacificbk.html"
"","SAN RAFAEL","WESTAMERICA BANK","CA","","I",27259,"NM","NM","SONOMA","SONOMA, CA","TASNN","",10285,"30SEP2025","8/20/2010","2010","10285","","5","3847","SONOMA VALLEY BANK","CA","0",337113,255501,"8/20/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/sonoma.html"
