run_timestamp,cert,bank_name,report_date,qtrs_to_failure,roa,capital_ratio,npa_value,total_assets,risk_score,risk_level,flags_triggered,flag_count,model_version,requires_review,human_reviewed,examiner_note
2026-03-04 12:23:24,34248,SINCLAIR NATIONAL BANK,1999-03-31,10,-2.2709,16.6094,3.0,20638.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,34248,SINCLAIR NATIONAL BANK,1999-06-30,9,-1.7344,15.808,2.0,19994.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,34248,SINCLAIR NATIONAL BANK,1999-09-30,8,-1.4132,14.822,2.0,20380.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,34248,SINCLAIR NATIONAL BANK,1999-12-31,7,-1.3514,13.823,3.0,22795.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,34248,SINCLAIR NATIONAL BANK,2000-03-31,6,-0.7545,21.777,2.0,27039.0,3,ELEVATED,"['ROA negative', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,34248,SINCLAIR NATIONAL BANK,2000-06-30,5,-1.7649,20.5349,3.0,28356.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,34248,SINCLAIR NATIONAL BANK,2000-09-30,4,-3.8859,18.6138,3.0,27489.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,34248,SINCLAIR NATIONAL BANK,2000-12-31,3,-5.6781,14.0769,4.0,25439.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,34248,SINCLAIR NATIONAL BANK,2001-03-31,2,-5.9943,9.4502,5.0,30347.0,5,HIGH,"['ROA critically negative (<-1.0)', 'Capital ratio below well-capitalised', 'Net income negative']",3,v1.0-rules-based,True,False,
2026-03-04 12:23:24,34248,SINCLAIR NATIONAL BANK,2001-06-30,1,-4.9709,10.4522,7.0,29792.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,34979,NEW CENTURY BANK,1999-09-30,10,-2.68,16.7357,12.0,44426.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,34979,NEW CENTURY BANK,1999-12-31,9,-7.748,3.4851,8.0,54516.0,7,CRITICAL,"['ROA critically negative (<-1.0)', 'Capital ratio critical (<6%)', 'Net income negative']",3,v1.0-rules-based,True,False,
2026-03-04 12:23:24,34979,NEW CENTURY BANK,2000-03-31,8,-9.6742,5.9979,7.0,56542.0,7,CRITICAL,"['ROA critically negative (<-1.0)', 'Capital ratio critical (<6%)', 'Net income negative']",3,v1.0-rules-based,True,False,
2026-03-04 12:23:24,34979,NEW CENTURY BANK,2000-06-30,7,-7.6821,5.0161,4.0,52882.0,7,CRITICAL,"['ROA critically negative (<-1.0)', 'Capital ratio critical (<6%)', 'Net income negative']",3,v1.0-rules-based,True,False,
2026-03-04 12:23:24,34979,NEW CENTURY BANK,2000-09-30,6,-5.1202,12.0483,5.0,46151.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,34979,NEW CENTURY BANK,2000-12-31,5,-4.0526,12.2198,5.0,40241.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,34979,NEW CENTURY BANK,2001-03-31,4,-9.3962,11.737,3.0,34768.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,34979,NEW CENTURY BANK,2001-06-30,3,-12.4858,9.3788,2.0,29510.0,5,HIGH,"['ROA critically negative (<-1.0)', 'Capital ratio below well-capitalised', 'Net income negative']",3,v1.0-rules-based,True,False,
2026-03-04 12:23:24,34979,NEW CENTURY BANK,2001-09-30,2,-16.1,1.9739,5.0,26360.0,7,CRITICAL,"['ROA critically negative (<-1.0)', 'Capital ratio critical (<6%)', 'Net income negative']",3,v1.0-rules-based,True,False,
2026-03-04 12:23:24,34979,NEW CENTURY BANK,2001-12-31,1,-16.4111,-0.0789,8.0,21091.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33784,AMTRADE INTERNATIONAL BANK OF GEORGIA,1999-09-30,12,-2.101,18.4225,3.0,121875.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33784,AMTRADE INTERNATIONAL BANK OF GEORGIA,1999-12-31,11,-3.4335,16.689,4.0,126497.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33784,AMTRADE INTERNATIONAL BANK OF GEORGIA,2000-03-31,10,10.4459,22.471,5.0,124165.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33784,AMTRADE INTERNATIONAL BANK OF GEORGIA,2000-06-30,9,6.2678,21.7443,5.0,110228.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33784,AMTRADE INTERNATIONAL BANK OF GEORGIA,2000-09-30,8,4.9177,21.8286,5.0,99906.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33784,AMTRADE INTERNATIONAL BANK OF GEORGIA,2000-12-31,7,3.0047,19.318,1.0,101826.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33784,AMTRADE INTERNATIONAL BANK OF GEORGIA,2001-03-31,6,-0.8637,22.4427,1.0,117693.0,3,ELEVATED,"['ROA negative', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33784,AMTRADE INTERNATIONAL BANK OF GEORGIA,2001-06-30,5,-0.2581,23.5445,0.0,126800.0,3,ELEVATED,"['ROA negative', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33784,AMTRADE INTERNATIONAL BANK OF GEORGIA,2001-09-30,4,-0.0524,23.2427,1.0,132076.0,3,ELEVATED,"['ROA negative', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33784,AMTRADE INTERNATIONAL BANK OF GEORGIA,2001-12-31,3,-0.8995,33.0806,1.0,123045.0,3,ELEVATED,"['ROA negative', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33784,AMTRADE INTERNATIONAL BANK OF GEORGIA,2002-03-31,2,-0.1859,34.8585,2.0,122283.0,3,ELEVATED,"['ROA negative', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33784,AMTRADE INTERNATIONAL BANK OF GEORGIA,2002-06-30,1,-9.8479,17.6118,22.0,92144.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,27094,SOUTHERN PACIFIC BANK,1999-12-31,12,-0.2722,10.629,2.0,1846992.0,3,ELEVATED,"['ROA negative', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,27094,SOUTHERN PACIFIC BANK,2000-03-31,11,-1.7805,10.308,3.0,1902148.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,35353,METROPOLITAN SAVINGS BANK,2003-12-31,12,0.8031,13.2772,0.0,13274.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,35353,METROPOLITAN SAVINGS BANK,2004-03-31,11,1.6871,13.6057,0.0,13280.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,35353,METROPOLITAN SAVINGS BANK,2004-06-30,10,1.0457,12.9892,0.0,13610.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,35353,METROPOLITAN SAVINGS BANK,2004-09-30,9,1.0787,13.372,0.0,13727.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,35353,METROPOLITAN SAVINGS BANK,2004-12-31,8,1.0721,13.0973,0.0,13266.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,35353,METROPOLITAN SAVINGS BANK,2005-03-31,7,1.3402,11.565,0.0,14193.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,35353,METROPOLITAN SAVINGS BANK,2005-06-30,6,1.0698,13.4682,0.0,14043.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,35353,METROPOLITAN SAVINGS BANK,2005-09-30,5,1.1487,14.4395,0.0,14212.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,35353,METROPOLITAN SAVINGS BANK,2005-12-31,4,1.1259,14.378,0.0,14450.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,35353,METROPOLITAN SAVINGS BANK,2006-03-31,3,0.3633,15.2577,0.0,14175.0,1,WATCH,['ROA very low (<0.5)'],1,v1.0-rules-based,False,False,
2026-03-04 12:23:24,35353,METROPOLITAN SAVINGS BANK,2006-06-30,2,0.3197,16.1118,0.0,14537.0,1,WATCH,['ROA very low (<0.5)'],1,v1.0-rules-based,False,False,
2026-03-04 12:23:24,35353,METROPOLITAN SAVINGS BANK,2006-09-30,1,0.1448,15.426,0.0,15760.0,1,WATCH,['ROA very low (<0.5)'],1,v1.0-rules-based,False,False,
2026-03-04 12:23:24,24660,THE DOUGLASS BANK,1988-12-31,12,0.7422,0.0,1.0,43720.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,24660,THE DOUGLASS BANK,1989-03-31,11,0.4957,0.0,1.0,45050.0,1,WATCH,['ROA very low (<0.5)'],1,v1.0-rules-based,False,False,
2026-03-04 12:23:24,24660,THE DOUGLASS BANK,1989-06-30,10,0.3089,0.0,1.0,45240.0,1,WATCH,['ROA very low (<0.5)'],1,v1.0-rules-based,False,False,
2026-03-04 12:23:24,24660,THE DOUGLASS BANK,1989-09-30,9,0.1332,0.0,1.0,42175.0,1,WATCH,['ROA very low (<0.5)'],1,v1.0-rules-based,False,False,
2026-03-04 12:23:24,24660,THE DOUGLASS BANK,1989-12-31,8,-0.4746,0.0,2.0,38728.0,3,ELEVATED,"['ROA negative', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,24660,THE DOUGLASS BANK,1990-03-31,7,0.0629,9.0974,2.0,37637.0,2,WATCH,"['ROA very low (<0.5)', 'Capital ratio below well-capitalised']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,24660,THE DOUGLASS BANK,1990-06-30,6,-0.2662,10.3177,4.0,36320.0,3,ELEVATED,"['ROA negative', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,24660,THE DOUGLASS BANK,1990-09-30,5,-0.6255,9.1827,3.0,44192.0,4,ELEVATED,"['ROA negative', 'Capital ratio below well-capitalised', 'Net income negative']",3,v1.0-rules-based,False,False,
2026-03-04 12:23:24,24660,THE DOUGLASS BANK,1990-12-31,4,-1.1936,8.198,4.0,33306.0,5,HIGH,"['ROA critically negative (<-1.0)', 'Capital ratio below well-capitalised', 'Net income negative']",3,v1.0-rules-based,True,False,
2026-03-04 12:23:24,24660,THE DOUGLASS BANK,1991-03-31,3,0.1684,8.6082,4.0,28439.0,2,WATCH,"['ROA very low (<0.5)', 'Capital ratio below well-capitalised']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,24660,THE DOUGLASS BANK,1991-06-30,2,-0.9694,7.2926,3.0,26759.0,5,HIGH,"['ROA negative', 'Capital ratio low (<8%)', 'Net income negative']",3,v1.0-rules-based,True,False,
2026-03-04 12:23:24,24660,THE DOUGLASS BANK,1991-09-30,1,-2.437,4.5387,4.0,31860.0,7,CRITICAL,"['ROA critically negative (<-1.0)', 'Capital ratio critical (<6%)', 'Net income negative']",3,v1.0-rules-based,True,False,
2026-03-04 12:23:24,24660,THE DOUGLASS BANK,1991-12-31,0,-5.2375,19.3538,6.0,26174.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33901,ANB FINANCIAL NATIONAL ASSOCIATION,2005-03-31,12,2.6654,10.6465,1.0,694826.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33901,ANB FINANCIAL NATIONAL ASSOCIATION,2005-06-30,11,2.2427,10.3036,2.0,788527.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33901,ANB FINANCIAL NATIONAL ASSOCIATION,2005-09-30,10,2.1517,10.3226,1.0,882219.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33901,ANB FINANCIAL NATIONAL ASSOCIATION,2005-12-31,9,2.1734,10.5818,1.0,966014.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33901,ANB FINANCIAL NATIONAL ASSOCIATION,2006-03-31,8,2.4812,10.9858,1.0,1069167.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33901,ANB FINANCIAL NATIONAL ASSOCIATION,2006-06-30,7,2.3853,10.8142,1.0,1175771.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,33901,ANB FINANCIAL NATIONAL ASSOCIATION,2006-09-30,6,2.3766,10.0511,2.0,1339967.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,57961,FIRST HERITAGE BANK N.A.,2005-06-30,12,-1.3158,19.8634,0.0,105732.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,57961,FIRST HERITAGE BANK N.A.,2005-09-30,11,-1.3252,14.969,0.0,129495.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,57961,FIRST HERITAGE BANK N.A.,2005-12-31,10,-1.3808,21.9292,0.0,131222.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,57961,FIRST HERITAGE BANK N.A.,2006-03-31,9,-0.7323,14.272,0.0,222754.0,3,ELEVATED,"['ROA negative', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,57961,FIRST HERITAGE BANK N.A.,2006-06-30,8,-0.4752,13.9397,0.0,225535.0,3,ELEVATED,"['ROA negative', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,57961,FIRST HERITAGE BANK N.A.,2006-09-30,7,-0.3661,15.3449,0.0,195534.0,3,ELEVATED,"['ROA negative', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,57961,FIRST HERITAGE BANK N.A.,2006-12-31,6,-0.0567,13.0291,0.0,211922.0,3,ELEVATED,"['ROA negative', 'Net income negative']",2,v1.0-rules-based,False,False,
2026-03-04 12:23:24,57961,FIRST HERITAGE BANK N.A.,2007-03-31,5,1.086,13.7408,0.0,217532.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,57961,FIRST HERITAGE BANK N.A.,2007-06-30,4,0.8979,13.2927,0.0,245452.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,57961,FIRST HERITAGE BANK N.A.,2007-09-30,3,1.0758,13.9795,0.0,232274.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,57961,FIRST HERITAGE BANK N.A.,2007-12-31,2,1.1944,24.7223,1.0,137728.0,0,WATCH,[],0,v1.0-rules-based,False,False,
2026-03-04 12:23:24,57961,FIRST HERITAGE BANK N.A.,2008-03-31,1,-5.0899,15.6603,1.0,158701.0,4,ELEVATED,"['ROA critically negative (<-1.0)', 'Net income negative']",2,v1.0-rules-based,False,False,
